loan_id,client_id,issue_date,age,gender,monthly_income,employment_type,work_experience_years,region,channel,loan_product,loan_amount,loan_term_months,interest_rate,monthly_payment,credit_score,existing_loans_count,dti_ratio,days_past_due,is_default
1,16795,2023-05-01,59,M,86602.0,self_employed,34.1,Ural,branch,renovation,480000,48,17.1,13875.0,696.0,0,49.2,0,0
2,1860,2023-02-23,27,F,45955.0,freelance,8.1,South,online,consumer,160000,6,19.7,28220.0,654.0,3,62.0,10,0
3,77820,2023-11-27,30,M,72578.0,freelance,11.2,SPb,online,renovation,470000,36,19.1,17252.0,588.0,4,77.7,203,1
4,55886,2023-08-29,27,M,68792.0,self_employed,7.7,Ural,partner,consumer,240000,36,20.1,8931.0,642.0,3,59.2,31,0
5,7265,2024-06-13,60,F,93397.0,freelance,40.4,Siberia,branch,consumer,280000,36,20.2,10434.0,582.0,2,63.2,179,1
6,83386,2024-04-27,36,M,93024.0,employed,17.6,SPb,online,renovation,450000,48,17.8,13172.0,595.0,0,55.6,13,0
7,38194,2023-07-06,30,M,61266.0,employed,11.2,South,online,consumer,170000,60,20.5,4551.0,549.0,5,58.9,10,0
8,88498,2024-10-17,29,M,72605.0,employed,4.8,SPb,online,consumer,300000,36,18.2,10876.0,671.0,0,60.2,13,0
9,45131,2023-09-19,26,M,47367.0,self_employed,5.5,South,online,education,180000,48,17.7,5259.0,573.0,1,65.3,25,0
10,61263,2023-12-30,64,M,179385.0,employed,45.0,Moscow,branch,car,910000,60,15.0,21649.0,680.0,2,84.4,2,0
11,17023,2024-05-05,32,M,85697.0,self_employed,5.4,Ural,branch,consumer,270000,48,19.5,8144.0,570.0,1,62.9,11,0
12,42090,2024-03-06,45,F,85139.0,employed,22.5,Siberia,online,consumer,210000,60,17.7,5298.0,711.0,5,43.7,0,0
13,68221,2023-08-27,27,M,106436.0,freelance,7.6,Moscow,branch,car,960000,60,16.2,23447.0,646.0,2,80.8,2,0
14,65820,2023-10-31,31,M,87945.0,employed,8.6,Moscow,online,renovation,580000,48,18.1,17068.0,641.0,0,61.5,7,0
15,1769,2023-10-25,34,M,113117.0,self_employed,13.3,Moscow,branch,renovation,530000,12,18.7,48767.0,626.0,2,82.1,25,0
16,60735,2023-03-17,47,F,85473.0,self_employed,25.5,Moscow,branch,consumer,420000,12,20.0,38906.0,576.0,1,52.7,0,0
17,63955,2024-11-30,23,F,23637.0,unemployed,0.6,Ural,branch,consumer,80000,12,22.3,7499.0,433.0,2,60.6,8,0
18,65925,2023-11-29,26,M,88321.0,self_employed,7.3,Siberia,branch,renovation,790000,48,19.1,23663.0,570.0,0,82.9,0,0
19,68969,2024-10-03,27,F,61684.0,freelance,8.1,Moscow,online,education,170000,48,16.6,4870.0,557.0,1,43.3,2,0
20,6311,2024-04-18,50,M,36831.0,unemployed,0.2,Moscow,online,consumer,90000,12,20.5,8359.0,579.0,1,63.1,9,0
21,84104,2023-10-10,45,M,103656.0,self_employed,25.1,Moscow,branch,consumer,320000,12,19.3,29536.0,642.0,2,43.9,15,0
22,54707,2024-08-13,23,M,90163.0,employed,3.4,Moscow,partner,car,850000,60,13.5,19558.0,754.0,3,70.4,0,0
23,86305,2023-03-13,50,M,45165.0,freelance,32.0,South,branch,consumer,160000,36,20.0,5946.0,601.0,3,42.3,21,0
24,29693,2023-09-20,30,M,113155.0,self_employed,6.2,Moscow,branch,car,930000,48,16.3,26500.0,587.0,1,80.4,44,0
25,72932,2024-12-03,38,M,71303.0,employed,16.6,SPb,branch,consumer,150000,24,16.9,7409.0,737.0,2,33.0,46,0
26,94016,2024-07-28,46,M,105742.0,self_employed,26.2,Moscow,online,car,1120000,36,15.5,39100.0,655.0,2,83.5,134,1
27,26658,2023-01-12,19,M,44659.0,freelance,0.0,Moscow,online,car,510000,48,16.6,14611.0,589.0,3,67.4,21,0
28,85478,2023-05-21,64,M,29216.0,unemployed,1.4,Moscow,partner,consumer,150000,36,22.4,5760.0,491.0,3,62.0,21,0
29,19431,2024-07-08,33,M,23388.0,unemployed,0.3,Moscow,branch,renovation,180000,48,20.2,5497.0,483.0,1,57.5,149,1
30,3747,2023-01-17,28,F,71312.0,employed,7.1,Moscow,online,consumer,250000,24,16.4,12289.0,783.0,2,26.3,0,0
31,60150,2023-03-04,43,M,96601.0,employed,19.9,Siberia,partner,consumer,400000,48,19.6,12087.0,615.0,3,54.7,16,0
32,66725,2023-09-10,27,F,92537.0,employed,8.4,SPb,partner,car,1100000,60,16.0,26750.0,639.0,5,84.8,162,1
33,85654,2024-04-09,44,F,146410.0,employed,13.0,Ural,branch,education,320000,48,14.6,8841.0,657.0,2,42.7,10,0
34,36773,2024-01-11,24,M,46888.0,freelance,5.1,SPb,partner,education,160000,24,17.6,7957.0,563.0,0,58.5,0,0
35,68435,2024-06-03,24,M,67104.0,employed,5.0,Moscow,online,consumer,200000,24,17.1,9898.0,715.0,3,41.0,1,0
36,57886,2023-03-31,44,M,73751.0,self_employed,15.9,Moscow,branch,consumer,210000,60,18.4,5378.0,710.0,1,51.6,114,1
37,67803,2024-12-20,32,F,84111.0,self_employed,9.5,Moscow,branch,car,680000,48,13.6,18446.0,686.0,1,60.9,2,0
38,32551,2024-09-21,21,M,53704.0,freelance,2.8,Moscow,online,car,630000,36,16.0,22149.0,593.0,1,74.1,165,1
39,12394,2023-06-24,67,M,98343.0,employed,44.4,South,online,education,240000,24,14.4,11568.0,736.0,3,48.8,4,0
40,70092,2023-03-17,31,M,49151.0,employed,12.4,Moscow,branch,car,530000,48,13.7,14403.0,702.0,3,59.7,33,0
41,4890,2024-09-04,34,F,102294.0,employed,14.7,SPb,branch,renovation,640000,48,17.2,18534.0,640.0,2,59.4,127,1
42,42606,2024-10-24,31,M,84923.0,employed,11.8,Ural,branch,car,840000,36,13.9,28668.0,691.0,0,72.0,34,0
43,97276,2024-02-04,21,F,18000.0,unemployed,0.4,Ural,partner,consumer,70000,12,22.6,6572.0,462.0,5,70.8,227,1
44,81038,2023-03-12,44,M,76495.0,freelance,24.9,Ural,branch,education,210000,36,17.0,7487.0,636.0,2,56.4,0,0
45,88313,2023-06-29,22,F,76506.0,employed,0.0,Moscow,online,consumer,250000,12,19.2,23063.0,643.0,3,42.7,6,0
46,11627,2023-05-04,35,M,65891.0,freelance,16.1,Ural,partner,consumer,310000,24,22.1,16098.0,547.0,2,65.1,26,0
47,9792,2024-01-16,21,M,62942.0,employed,0.0,Siberia,partner,renovation,410000,36,17.8,14781.0,607.0,1,50.6,11,0
